Timestamp,Age,Location,Feel Safe,Know Emergency Number,Use Safety App
2025-05-01 08:00:00,28,Indore,Very Safe,Yes,No
2025-05-01 08:10:00,23,Pune,Very Safe,No,No
2025-05-01 08:20:00,39,Chennai,Not Safe,Yes,No
2025-05-01 08:30:00,31,Lucknow,Somewhat Safe,Yes,No
2025-05-01 08:40:00,36,Jaipur,Not Safe,Yes,Yes
2025-05-01 08:50:00,34,Nagpur,Not Safe,No,Yes
2025-05-01 09:00:00,45,Bangalore,Very Safe,Yes,No
2025-05-01 09:10:00,18,Indore,Somewhat Safe,Yes,Yes
2025-05-01 09:20:00,41,Surat,Not Safe,No,Yes
2025-05-01 09:30:00,46,Guwahati,Very Safe,Yes,No
2025-05-01 09:40:00,22,Bhopal,Somewhat Safe,Yes,No
2025-05-01 09:50:00,49,Kolkata,Very Safe,Yes,No
2025-05-01 10:00:00,19,Delhi,Somewhat Safe,Yes,No
2025-05-01 10:10:00,34,Noida,Not Safe,Yes,Yes
2025-05-01 10:20:00,38,Mumbai,Very Safe,Yes,Yes
2025-05-01 10:30:00,36,Ranchi,Very Safe,Yes,No
2025-05-01 10:40:00,40,Amritsar,Somewhat Safe,Yes,No
2025-05-01 10:50:00,50,Patna,Very Safe,Yes,No
2025-05-01 11:00:00,40,Delhi,Not Safe,Yes,No
2025-05-01 11:10:00,23,Amritsar,Very Safe,No,No
2025-05-01 11:20:00,46,Bhopal,Somewhat Safe,Yes,Yes
2025-05-01 11:30:00,40,Mumbai,Somewhat Safe,No,No
2025-05-01 11:40:00,36,Delhi,Somewhat Safe,No,No
2025-05-01 11:50:00,25,Ahmedabad,Very Safe,Yes,Yes
2025-05-01 12:00:00,23,Ranchi,Not Safe,Yes,Yes
2025-05-01 12:10:00,19,Patna,Very Safe,Yes,No
2025-05-01 12:20:00,22,Chennai,Very Safe,No,Yes
2025-05-01 12:30:00,45,Jaipur,Somewhat Safe,No,Yes
2025-05-01 12:40:00,28,Chennai,Somewhat Safe,Yes,No
2025-05-01 12:50:00,31,Indore,Somewhat Safe,No,No
2025-05-01 13:00:00,48,Ahmedabad,Somewhat Safe,Yes,No
2025-05-01 13:10:00,23,Bangalore,Somewhat Safe,Yes,No
2025-05-01 13:20:00,31,Jaipur,Somewhat Safe,Yes,Yes
2025-05-01 13:30:00,49,Ahmedabad,Very Safe,No,Yes
2025-05-01 13:40:00,50,Ahmedabad,Very Safe,Yes,No
2025-05-01 13:50:00,40,Bangalore,Somewhat Safe,Yes,No
2025-05-01 14:00:00,32,Ahmedabad,Very Safe,Yes,No
2025-05-01 14:10:00,31,Nagpur,Somewhat Safe,Yes,No
2025-05-01 14:20:00,50,Noida,Not Safe,Yes,Yes
2025-05-01 14:30:00,21,Jaipur,Somewhat Safe,Yes,No
2025-05-01 14:40:00,24,Guwahati,Somewhat Safe,Yes,No
2025-05-01 14:50:00,30,Pune,Very Safe,Yes,No
2025-05-01 15:00:00,48,Mumbai,Not Safe,Yes,No
2025-05-01 15:10:00,32,Bangalore,Very Safe,Yes,No
2025-05-01 15:20:00,33,Pune,Somewhat Safe,Yes,No
2025-05-01 15:30:00,25,Noida,Somewhat Safe,Yes,No
2025-05-01 15:40:00,36,Ranchi,Somewhat Safe,Yes,No
2025-05-01 15:50:00,43,Kanpur,Very Safe,Yes,No
2025-05-01 16:00:00,31,Kanpur,Very Safe,No,No
2025-05-01 16:10:00,25,Hyderabad,Not Safe,Yes,Yes
2025-05-01 16:20:00,41,Amritsar,Somewhat Safe,Yes,No
2025-05-01 16:30:00,20,Kanpur,Somewhat Safe,Yes,No
2025-05-01 16:40:00,38,Kolkata,Not Safe,Yes,No
2025-05-01 16:50:00,28,Indore,Somewhat Safe,Yes,Yes
2025-05-01 17:00:00,36,Ranchi,Not Safe,No,Yes
2025-05-01 17:10:00,35,Noida,Not Safe,Yes,No
2025-05-01 17:20:00,26,Pune,Very Safe,No,No
2025-05-01 17:30:00,39,Surat,Not Safe,Yes,No
2025-05-01 17:40:00,42,Ranchi,Not Safe,Yes,No
2025-05-01 17:50:00,40,Amritsar,Somewhat Safe,Yes,No
2025-05-01 18:00:00,21,Noida,Not Safe,No,Yes
2025-05-01 18:10:00,33,Kanpur,Somewhat Safe,Yes,No
2025-05-01 18:20:00,22,Kanpur,Somewhat Safe,No,No
2025-05-01 18:30:00,20,Nagpur,Very Safe,Yes,No
2025-05-01 18:40:00,27,Patna,Somewhat Safe,Yes,No
2025-05-01 18:50:00,29,Patna,Somewhat Safe,Yes,No
2025-05-01 19:00:00,44,Bhopal,Somewhat Safe,No,No
2025-05-01 19:10:00,22,Hyderabad,Somewhat Safe,Yes,No
2025-05-01 19:20:00,31,Pune,Somewhat Safe,Yes,Yes
2025-05-01 19:30:00,29,Kanpur,Somewhat Safe,Yes,No
2025-05-01 19:40:00,31,Chennai,Somewhat Safe,No,No
2025-05-01 19:50:00,34,Delhi,Very Safe,Yes,Yes
2025-05-01 20:00:00,47,Kolkata,Very Safe,Yes,Yes
2025-05-01 20:10:00,22,Pune,Somewhat Safe,Yes,Yes
2025-05-01 20:20:00,32,Jaipur,Very Safe,No,No
2025-05-01 20:30:00,23,Hyderabad,Somewhat Safe,No,No
2025-05-01 20:40:00,48,Lucknow,Not Safe,No,No
2025-05-01 20:50:00,45,Kanpur,Somewhat Safe,Yes,Yes
2025-05-01 21:00:00,44,Pune,Not Safe,No,Yes
2025-05-01 21:10:00,21,Lucknow,Very Safe,Yes,Yes
2025-05-01 21:20:00,27,Mumbai,Very Safe,Yes,No
2025-05-01 21:30:00,38,Kolkata,Not Safe,No,Yes
2025-05-01 21:40:00,27,Mumbai,Somewhat Safe,Yes,Yes
2025-05-01 21:50:00,20,Mumbai,Not Safe,Yes,No
2025-05-01 22:00:00,29,Surat,Very Safe,Yes,Yes
2025-05-01 22:10:00,38,Jaipur,Very Safe,Yes,Yes
2025-05-01 22:20:00,31,Mumbai,Somewhat Safe,Yes,Yes
